ROG3,Ctry,PeopleID3,ROP3,PeopNameAcrossCountries,PeopNameInCountry,Population,JPScale,LeastReached,ROL3,PrimaryLanguageName,BibleStatus,RLG3,PrimaryReligion,PercentAdherents,PercentEvangelical,PeopleID1,ROP1,AffinityBloc,PeopleID2,ROP2,PeopleCluster,CountOfCountries,RegionCode,RegionName,ROG2,Continent,10_40Window,IndigenousCode,WorkersNeeded,Frontier,Latitude,Longitude
AJ,Azerbaijan,10429,100516,Armenian,Armenian,24000,3,N,hye,Armenian,5,1,Christianity,84.129,2.000,12,A003,"Eurasian Peoples",119,C0021,Armenian,55,5,"Asia, Central",ASI,Asia,Y,Y,,N,39.94044,46.62271
AJ,Azerbaijan,10464,100574,Assyrian,Assyrian,1600,3,N,aii,"Assyrian Neo-Aramaic",5,1,Christianity,97.000,2.000,10,A001,"Arab World",121,C0023,"Assyrian / Aramaic",23,5,"Asia, Central",ASI,Asia,Y,N,,N,38.725271,48.563787
AJ,Azerbaijan,10495,100633,Avar,"Avar, Maarulal",115000,1,Y,ava,Avar,4,6,Islam,0.000,0.000,12,A003,"Eurasian Peoples",157,C0061,Caucasus,7,5,"Asia, Central",ASI,Asia,Y,Y,2,Y,41.73803,46.57754
AJ,Azerbaijan,10528,100675,Azerbaijani,Azerbaijani,8000000,1,Y,azj,"Azerbaijani, North",5,6,Islam,0.400,0.216,24,A015,"Turkic Peoples",126,C0028,Azerbaijani,20,5,"Asia, Central",ASI,Asia,Y,Y,160,N,40.21280000012,47.68707000008
AJ,Azerbaijan,18859,100677,"Azerbaijani, Azeri Turk","Azerbaijani, Azeri Turk",297000,1,Y,azb,"Azerbaijani, South",5,6,Islam,0.250,0.150,24,A015,"Turkic Peoples",126,C0028,Azerbaijani,6,5,"Asia, Central",ASI,Asia,Y,N,6,N,39.870339701016,48.079779351935
AJ,Azerbaijan,11065,101833,Belarusian,Belarusian,5800,3,N,bel,Belarusian,5,1,Christianity,75.000,1.100,12,A003,"Eurasian Peoples",283,C0194,"Slav, Eastern",30,5,"Asia, Central",ASI,Asia,Y,N,,N,40.369164483054,49.842240082214
AJ,Azerbaijan,11140,102927,British,British,2600,4,N,eng,English,5,1,Christianity,70.000,7.000,12,A003,"Eurasian Peoples",110,C0012,Anglo-Celt,126,5,"Asia, Central",ASI,Asia,Y,N,,N,40.463635,49.979124
AJ,Azerbaijan,10980,101695,Budug,Budug,2100,4,N,bdk,Budukh,0,6,Islam,4.000,3.486,12,A003,"Eurasian Peoples",157,C0061,Caucasus,1,5,"Asia, Central",ASI,Asia,Y,Y,,N,41.24139,48.33895
AJ,Azerbaijan,11317,102059,Chechen,Chechen,5400,1,Y,che,Chechen,5,6,Islam,0.000,0.000,12,A003,"Eurasian Peoples",157,C0061,Caucasus,16,5,"Asia, Central",ASI,Asia,Y,N,1,Y,41.695299185609,48.48840323712
AJ,Azerbaijan,11505,102454,Dargin,Dargin,3200,1,Y,dar,Dargwa,3,6,Islam,0.000,0.000,12,A003,"Eurasian Peoples",157,C0061,Caucasus,7,5,"Asia, Central",ASI,Asia,Y,N,1,Y,41.762946230384,48.577891031846
AJ,Azerbaijan,19007,114916,Deaf,Deaf,78000,1,Y,xxx,"Language unknown",0,6,Islam,2.740,,26,A017,Deaf,328,C0252,Deaf,216,5,"Asia, Central",ASI,Asia,Y,Y,2,N,40.398807539736,49.812264485917
AJ,Azerbaijan,11865,103298,Georgian,Georgian,81000,3,N,kat,Georgian,5,1,Christianity,75.000,0.500,12,A003,"Eurasian Peoples",157,C0061,Caucasus,25,5,"Asia, Central",ASI,Asia,Y,N,,N,41.365459999979,46.827469999741
AJ,Azerbaijan,11871,103305,German,German,1700,5,N,deu,"German, Standard",5,1,Christianity,78.000,20.000,12,A003,"Eurasian Peoples",175,C0079,Germanic,78,5,"Asia, Central",ASI,Asia,Y,N,,N,40.37826,49.858521
AJ,Azerbaijan,11890,103369,"Gilaki, Gilani","Gilaki, Gilani",4800,1,Y,glk,Gilaki,3,6,Islam,0.000,0.000,14,A005,Persian-Median,268,C0179,Persian,2,5,"Asia, Central",ASI,Asia,Y,N,1,Y,39.035,48.65
AJ,Azerbaijan,14885,108898,Ilsavan,Ilsavan,8500,1,Y,tur,Turkish,5,6,Islam,0.000,0.000,24,A015,"Turkic Peoples",126,C0028,Azerbaijani,2,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,40.264563,48.866832
AJ,Azerbaijan,12230,104032,Inghiloi,Inghiloi,33000,2,N,kat,Georgian,5,6,Islam,10.000,0.300,12,A003,"Eurasian Peoples",157,C0061,Caucasus,2,5,"Asia, Central",ASI,Asia,Y,N,,N,41.36546,46.82747
AJ,Azerbaijan,10839,116827,"Jewish Tat, Mountain Jewish","Jewish Tat, Mountain Jewish",15000,1,Y,jdt,Judeo-Tat,3,4,"Ethnic Religions",0.000,0.000,15,A006,Jewish,197,C0102,Jewish,4,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,41.37913,48.48932
AJ,Azerbaijan,14600,108454,"Jewish, Russian-speaking","Jewish, Russian",7000,1,Y,rus,Russian,5,4,"Ethnic Religions",0.000,0.000,15,A006,Jewish,197,C0102,Jewish,6,5,"Asia, Central",ASI,Asia,Y,N,1,Y,40.4,49.82
AJ,Azerbaijan,12599,104791,Kazakh,Kazakh,9400,1,Y,kaz,Kazakh,5,6,Islam,0.090,0.000,24,A015,"Turkic Peoples",202,C0108,Kazakh,24,5,"Asia, Central",ASI,Asia,Y,N,1,Y,40.408014439115,49.840265373348
AJ,Azerbaijan,12660,104944,Khinalug,"Khinalug, Ketsh Khalkh",4100,1,Y,kjj,Khinalugh,0,6,Islam,1.500,1.419,12,A003,"Eurasian Peoples",157,C0061,Caucasus,1,5,"Asia, Central",ASI,Asia,Y,Y,1,N,41.17913,48.05821
AJ,Azerbaijan,11255,105327,Kryz,"Kryz, Dzhek",13000,1,Y,kry,Kryts,0,6,Islam,0.718,0.718,12,A003,"Eurasian Peoples",157,C0061,Caucasus,1,5,"Asia, Central",ASI,Asia,Y,Y,1,N,41.17885,48.18208
AJ,Azerbaijan,12877,105458,"Kurd, Kurmanji","Kurd, Kurmanji",54000,1,Y,kmr,"Kurdish, Northern",5,6,Islam,0.040,0.000,14,A005,Persian-Median,208,C0114,Kurd,33,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,39.82436,46.16556
AJ,Azerbaijan,12952,105583,Lak,Lak,1800,1,Y,lbe,Lak,3,6,Islam,0.800,0.800,12,A003,"Eurasian Peoples",157,C0061,Caucasus,7,5,"Asia, Central",ASI,Asia,Y,N,1,N,41.363279164702,48.527970871059
AJ,Azerbaijan,13049,105742,Lezgin,Lezgin,366000,1,Y,lez,Lezgi,4,6,Islam,0.100,0.100,12,A003,"Eurasian Peoples",157,C0061,Caucasus,9,5,"Asia, Central",ASI,Asia,Y,Y,7,Y,41.47999,48.34479
AJ,Azerbaijan,13809,106791,Mordvinian,Mordvinian,1200,3,N,myv,Erzya,4,1,Christianity,65.000,0.700,12,A003,"Eurasian Peoples",169,C0073,Finno-Ugric,9,5,"Asia, Central",ASI,Asia,Y,N,,N,40.389715631271,49.821136727778
AJ,Azerbaijan,13896,106963,"Mussulman Tat","Mussulman Tat",116000,1,Y,ttt,"Tat, Muslim",3,6,Islam,1.300,1.200,14,A005,Persian-Median,268,C0179,Persian,3,5,"Asia, Central",ASI,Asia,Y,Y,2,N,41.09124,48.75129
AJ,Azerbaijan,14229,107699,Ossette,Ossette,4200,2,N,oss,Ossetic,5,1,Christianity,40.000,0.430,12,A003,"Eurasian Peoples",157,C0061,Caucasus,10,5,"Asia, Central",ASI,Asia,Y,N,,N,41.139793665745,45.262113666113
AJ,Azerbaijan,14371,107987,Persian,Persian,12000,1,Y,pes,"Persian, Iranian",5,6,Islam,0.000,0.000,14,A005,Persian-Median,268,C0179,Persian,42,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,39.313277513147,48.529854617996
AJ,Azerbaijan,14431,108096,Polish,Polish,3700,3,N,pol,Polish,5,1,Christianity,88.000,2.000,12,A003,"Eurasian Peoples",285,C0196,"Slav, Western",45,5,"Asia, Central",ASI,Asia,Y,N,,N,40.42,49.84
AJ,Azerbaijan,14571,108398,Romanian,Romanian,1600,4,N,ron,Romanian,5,1,Christianity,80.000,4.000,12,A003,"Eurasian Peoples",276,C0187,Romanian,40,5,"Asia, Central",ASI,Asia,Y,N,,N,40.391602848693,49.865255256825
AJ,Azerbaijan,14598,108452,Russian,Russian,142000,3,N,rus,Russian,5,1,Christianity,58.000,0.400,12,A003,"Eurasian Peoples",283,C0194,"Slav, Eastern",70,5,"Asia, Central",ASI,Asia,Y,N,,N,41.034431,47.032615
AJ,Azerbaijan,14603,108461,Rutul,Rutul,21000,1,Y,rut,Rutul,0,6,Islam,0.240,0.240,12,A003,"Eurasian Peoples",157,C0061,Caucasus,2,5,"Asia, Central",ASI,Asia,Y,Y,1,N,41.07969,46.74134
AJ,Azerbaijan,15220,109766,Talysh,Talysh,594000,1,Y,tly,Talysh,4,6,Islam,0.000,0.000,14,A005,Persian-Median,300,C0212,Talysh,4,5,"Asia, Central",ASI,Asia,Y,Y,12,Y,38.738899999835,48.594809999981
AJ,Azerbaijan,15284,109874,Tatar,Tatar,73000,1,Y,tat,Tatar,5,6,Islam,1.500,0.000,24,A015,"Turkic Peoples",311,C0223,Ural-Siberian,21,5,"Asia, Central",ASI,Asia,Y,N,1,N,40.411196703665,49.844000157981
AJ,Azerbaijan,15587,110205,Tsakhur,Tsakhur,32000,1,Y,tkr,Tsakhur,3,6,Islam,0.111,0.111,12,A003,"Eurasian Peoples",157,C0061,Caucasus,2,5,"Asia, Central",ASI,Asia,Y,Y,1,N,41.55684,46.86823
AJ,Azerbaijan,18274,113818,Turk,Turk,60000,1,Y,tur,Turkish,5,6,Islam,0.000,0.000,24,A015,"Turkic Peoples",309,C0221,Turkish,68,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,40.383440000156,49.89322599988
AJ,Azerbaijan,20631,115687,"Turk, Meskhetian","Turk, Meskhetian",110000,1,Y,tur,Turkish,5,6,Islam,0.000,0.000,24,A015,"Turkic Peoples",309,C0221,Turkish,9,5,"Asia, Central",ASI,Asia,Y,N,2,Y,40.66981,46.371043
AJ,Azerbaijan,15654,110306,Turkmen,Turkmen,10000,1,Y,tuk,Turkmen,5,6,Islam,0.000,0.000,24,A015,"Turkic Peoples",310,C0222,Turkmen,12,5,"Asia, Central",ASI,Asia,Y,N,1,Y,40.41,49.82
AJ,Azerbaijan,15684,110360,Udin,Udin,8800,3,N,udi,Udi,0,1,Christianity,100.000,0.100,12,A003,"Eurasian Peoples",157,C0061,Caucasus,6,5,"Asia, Central",ASI,Asia,Y,Y,,N,40.89675,47.72075
AJ,Azerbaijan,15696,110376,Ukrainian,Ukrainian,47000,3,N,ukr,Ukrainian,5,1,Christianity,70.000,2.000,12,A003,"Eurasian Peoples",283,C0194,"Slav, Eastern",51,5,"Asia, Central",ASI,Asia,Y,N,,N,40.40902707484,49.845857776915
AJ,Azerbaijan,15756,110472,"Uzbek, Southern","Uzbek, Southern",8600,1,Y,uzs,"Uzbek, Southern",3,6,Islam,0.000,0.000,24,A015,"Turkic Peoples",314,C0226,Uzbek,5,5,"Asia, Central",ASI,Asia,Y,N,1,Y,40.404142381066,49.861336252366
?,?,?,?,Abaza,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Adyghe,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Aghul,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Akhvakh,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Andalal,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Andi,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Antsukh,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Archi,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Avar,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Azerbaijani,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Bagvalal,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Balkar,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Batlukh-Gid,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Bezhta,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Bezhta,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Botlikh,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Chamalal,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Chechen,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Chirag,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Dargin,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Didoi,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Digor,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Ghunzib,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Ginukh,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Godoberi,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Ingush,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Kabardian,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Kaitag,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Karachay,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Karata,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Khvarshi,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Kist,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Kubachi,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Kumyk,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Lak,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Lezgin,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Murego-Gubden,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Nogai,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Rutul,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Shapsug,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Tabasaran,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Talysh,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Tat,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,"Tatar, Crimean",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Tindi,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Tsakhur,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Tsudakar,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,Turkmen,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
